grid_id,capacity_mw,fuel_type,year
159,23.1,oil,2023
159,2.6,wind,2023
159,21.9,oil,2024
159,2.6,wind,2024
160,2.9,oil,2021
160,2.9,oil,2022
160,2.9,oil,2023
160,2.9,oil,2024
161,3.4,oil,2021
161,3.4,oil,2022
161,3.4,oil,2023
161,3.4,oil,2024
162,2.6,oil,2021
162,2.6,oil,2022
162,2.6,oil,2023
162,2.6,oil,2024
163,2.6,oil,2021
163,2.2,gas,2021
163,2.6,oil,2022
163,2.2,gas,2022
163,2.6,oil,2023
163,2.2,gas,2023
163,2.6,oil,2024
163,2.2,gas,2024
164,4.6,oil,2021
164,4.6,oil,2022
164,4.6,oil,2023
164,4.6,oil,2024
165,4.6,oil,2021
165,4.6,oil,2022
165,4.6,oil,2023
165,4.4,oil,2024
166,3.3,oil,2021
166,3.3,oil,2022
166,3.3,oil,2023
166,3.3,oil,2024
167,,,
169,15.1,oil,2021
169,15.1,oil,2022
169,15.1,oil,2023
169,14.6,oil,2024
170,,,
171,,,
172,2.2,oil,2021
172,1.4,hydro,2021
172,2.2,oil,2022
172,1.4,hydro,2022
172,2.2,oil,2023
172,1.4,hydro,2023
172,2.2,oil,2024
172,1.4,hydro,2024
173,,,
174,,,
175,,,
176,,,
177,,,
178,,,
179,,,
180,,,
181,,,
182,,,
183,,,
184,,,
185,,,
186,,,
187,3.0,oil,2021
187,1.0,wind,2021
187,3.4,oil,2022
187,1.0,wind,2022
187,,,2023
187,3.4,oil,2023
187,1.0,wind,2023
187,3.4,oil,2024
187,1.0,wind,2024
188,,,
189,,,
190,,,
191,,,
193,,,
194,3.6,oil,2021
194,3.6,oil,2022
194,3.6,oil,2023
194,3.6,oil,2024
195,52.9,oil,2021
195,52.9,oil,2022
195,52.9,oil,2023
195,52.9,oil,2024
196,,,
197,,,
198,,,
213,,,
215,1604.7,gas,2021
215,303.4,oil,2021
215,198.8,coal,2021
215,191.8,hydro,2021
215,86.5,other,2021
215,44.5,wind,2021
215,11.5,waste,2021
215,1604.7,gas,2022
215,303.4,oil,2022
215,198.8,coal,2022
215,191.8,hydro,2022
215,86.5,other,2022
215,44.5,wind,2022
215,11.5,waste,2022
215,1604.7,gas,2023
215,303.4,oil,2023
215,198.8,coal,2023
215,191.8,hydro,2023
